S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Automotive Engineering,Internal Combustion Engine,52hrs 18min,12th,English/Hindi,Module 1: Introduction to Internal Combustion Engines,Internal Combustion Engine Lecture -1 Basic of IC Engine. GATE/IES/SSC JE/PSUs. (ME),https://www.youtube.com/watch?v=CElpJe0rnog
2,Automotive Engineering,Internal Combustion Engine,,12th,English/Hindi,Module 1: Introduction to Internal Combustion Engines,Internal Combustion Engine Lecture -2 Four Stroke Petrol & Diesel Engine. (ME),https://www.youtube.com/watch?v=FtvRNWqftbg
3,Automotive Engineering,Internal Combustion Engine,,12th,English/Hindi,Module 1: Introduction to Internal Combustion Engines,Internal Combustion Engine Lecture -3 Two Stroke Petrol & Diesel Engine. (ME),https://www.youtube.com/watch?v=NbY8G9_OouE
4,Automotive Engineering,Internal Combustion Engine,,12th,English/Hindi,Module 1: Introduction to Internal Combustion Engines,Internal Combustion Engine Lecture -4 Air Standard Cycle - Otto Cycle.,https://www.youtube.com/watch?v=67uxgw3S6lI
5,Automotive Engineering,Internal Combustion Engine,,12th,English/Hindi,Module 2: Diesel Cycle and Mean Effective Pressure,Internal Combustion Engine Lecture -5 Diesel Cycle and its Mean Effective Pressure.,https://www.youtube.com/watch?v=l8T04B20rmY
6,Automotive Engineering,Internal Combustion Engine,,12th,English/Hindi,Module 2: Diesel Cycle and Mean Effective Pressure,Internal Combustion Engine Lecture -6 Dual Cycle and its Mean Effective Pressure.,https://www.youtube.com/watch?v=NWrfvhs5-7U
7,Automotive Engineering,Internal Combustion Engine,,12th,English/Hindi,Module 2: Diesel Cycle and Mean Effective Pressure,"Internal Combustion Engine Lecture -7 comparison b/w Otto, Diesel and Dual Cycle. (Hindi & English)",https://www.youtube.com/watch?v=jDnMksaXL0A
8,Automotive Engineering,Internal Combustion Engine,,12th,English/Hindi,Module 3: Engine Comparison and Fuel Characteristics,Internal Combustion Engine Lecture -8 Comparison b/w 2 & 4 stroke Petrol & Diesel Engine.,https://www.youtube.com/watch?v=U_ZikDdQaJ0
9,Automotive Engineering,Internal Combustion Engine,,12th,English/Hindi,Module 3: Engine Comparison and Fuel Characteristics,Internal Combustion Engine Lecture  -9 Fuel Characteristics & Stoichiometric Ratio.,https://www.youtube.com/watch?v=SVags-y_XN8
10,Automotive Engineering,Internal Combustion Engine,,12th,English/Hindi,Module 3: Engine Comparison and Fuel Characteristics,"Internal Combustion Engine Lecture -10 Idling, Cruising, Maximum Power and Cold Starting.",https://www.youtube.com/watch?v=1rFxGAF_rSk
