S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Supply Chain Management,Supply Chain Management Case Study | SCM Case Studies | Logistics Case Study  | Supply Chain Analytics | Supply chain Case Study - English,21hrs 6min,12th,English/Hindi,Module 1: Mcdonalds India Supply chain Strategy of French Fries | Supply chain Optimization,Mcdonalds India | Mcdonalds Supply chain Strategy of French Fries | Supply chain Optimization | SCM,https://www.youtube.com/watch?v=lLeFVA6rFX8
2,Supply Chain Management,Supply Chain Management Case Study | SCM Case Studies | Logistics Case Study  | Supply Chain Analytics | Supply chain Case Study - English,,12th,English/Hindi,Module 1: Mcdonalds India Supply chain Strategy of French Fries | Supply chain Optimization,IKEA case study | Global Sourcing Challenge | Indian Rug | Child Labor | Supply chain | Harvard Case,https://www.youtube.com/watch?v=a2n10AbEwxg
3,Supply Chain Management,Supply Chain Management Case Study | SCM Case Studies | Logistics Case Study  | Supply Chain Analytics | Supply chain Case Study - English,,12th,English/Hindi,Module 1: Mcdonalds India Supply chain Strategy of French Fries | Supply chain Optimization,Crocs Case study - Revolutionizing an Industry's Supply Chain Model | SCM | Supply chain management,https://www.youtube.com/watch?v=pimSxbtsOoA
4,Supply Chain Management,Supply Chain Management Case Study | SCM Case Studies | Logistics Case Study  | Supply Chain Analytics | Supply chain Case Study - English,,12th,English/Hindi,Module 1: Mcdonalds India Supply chain Strategy of French Fries | Supply chain Optimization,Coca Cola Case Study |  SCM | AI in Supply Chain | Supply chain Management | Supply chain analytics,https://www.youtube.com/watch?v=EdlrV-ys6wE
5,Supply Chain Management,Supply Chain Management Case Study | SCM Case Studies | Logistics Case Study  | Supply Chain Analytics | Supply chain Case Study - English,,12th,English/Hindi,Module 2: IKEA case study | Global Sourcing Challenge,Walmart Case study | Project Impact | Walmart Strategy | Retail case study | Customer Survey Case,https://www.youtube.com/watch?v=_S9aEDg9btQ
6,Supply Chain Management,Supply Chain Management Case Study | SCM Case Studies | Logistics Case Study  | Supply Chain Analytics | Supply chain Case Study - English,,12th,English/Hindi,Module 2: IKEA case study | Global Sourcing Challenge,Agile Supply Chain | Zara Supply Chain Case Study | Fast Fashion | SCM | Supply Chain Analytics,https://www.youtube.com/watch?v=qeadkAL5YwY
7,Supply Chain Management,Supply Chain Management Case Study | SCM Case Studies | Logistics Case Study  | Supply Chain Analytics | Supply chain Case Study - English,,12th,English/Hindi,Module 2: IKEA case study | Global Sourcing Challenge,WALMART's SUPPLY CHAIN CASE STUDY  | SCM | SUPPLY CHAIN ANALYTICS | EDI | DRONE | MBA CASE STUDY,https://www.youtube.com/watch?v=sWdmGcaTras
8,Supply Chain Management,Supply Chain Management Case Study | SCM Case Studies | Logistics Case Study  | Supply Chain Analytics | Supply chain Case Study - English,,12th,English/Hindi,Module 3: Crocs Case study - Revolutionizing an Industry's Supply Chain Model | SCM,Intel Supply Chain Strategy | semiconductor chip Shortage | Global crisis  Supply Chain Case Study,https://www.youtube.com/watch?v=_Xq-xcxmrEY
9,Supply Chain Management,Supply Chain Management Case Study | SCM Case Studies | Logistics Case Study  | Supply Chain Analytics | Supply chain Case Study - English,,12th,English/Hindi,Module 3: Crocs Case study - Revolutionizing an Industry's Supply Chain Model | SCM,Starbucks Coffee Supply chain Case Study | Global Supply Chain Crisis | SCM | Supply Shortage | MBA,https://www.youtube.com/watch?v=j69lCFaCiE8
10,Supply Chain Management,Supply Chain Management Case Study | SCM Case Studies | Logistics Case Study  | Supply Chain Analytics | Supply chain Case Study - English,,12th,English/Hindi,Module 3: Crocs Case study - Revolutionizing an Industry's Supply Chain Model | SCM,Dell Supply chain strategy | Direct sales Model | Supply chain Case study | Make to order | SCM,https://www.youtube.com/watch?v=4VbW8Dvos_E
