S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Business Administration,Strategic Management - Dwivedi Guidance,36hrs 19min,12th,English/Hindi,Module 1: Introduction to Strategic Management,1| Strategic management | strategy meaning | level of strategy | strategic management process,https://www.youtube.com/watch?v=TzcuoTOkPKg
2,Business Administration,Strategic Management - Dwivedi Guidance,,12th,English/Hindi,Module 1: Introduction to Strategic Management,"2 | Strategic management | strategic intent : Vision, Mission, Goal, Objective, Business Definition",https://www.youtube.com/watch?v=JwXdJmFgNE4
3,Business Administration,Strategic Management - Dwivedi Guidance,,12th,English/Hindi,Module 1: Introduction to Strategic Management,"3 | Strategic management | Environmental Scanning, SWOT, PESTEL, Porter 5 forces, IFE & EFE matrix",https://www.youtube.com/watch?v=mgY864U-OH0
4,Business Administration,Strategic Management - Dwivedi Guidance,,12th,English/Hindi,Module 1: Introduction to Strategic Management,"4 | Strategic management | Internal Appraisal, VRIO, RBV, Valu chain Analysis, 9 M Framework,",https://www.youtube.com/watch?v=oIw8Ohz4aBw
5,Business Administration,Strategic Management - Dwivedi Guidance,,12th,English/Hindi,Module 2: Environmental Scanning & SWOT Analysis,"5 | Strategic management | concentration, Integration, Diversification, concentric, conglomerate",https://www.youtube.com/watch?v=6Khez82F4Oo
6,Business Administration,Strategic Management - Dwivedi Guidance,,12th,English/Hindi,Module 2: Environmental Scanning & SWOT Analysis,"6 Porter Generic Strategies, Strategic management, Cost & Differentiation Leadership, Focus Strategy",https://www.youtube.com/watch?v=P9Zg9-KP-hA
7,Business Administration,Strategic Management - Dwivedi Guidance,,12th,English/Hindi,Module 2: Environmental Scanning & SWOT Analysis,"Strategy Analysis, BCG Matrix, Ansoff Grid, GE 9 Cell, McKinsey 7 S framework, Strategic Management",https://www.youtube.com/watch?v=obhUEvO93OY
8,Business Administration,Strategic Management - Dwivedi Guidance,,12th,English/Hindi,Module 3: Internal Appraisal & VRIO Analysis,"Strategy evaluation and control, strategic control Process, Rumelt 4 criteria, Strategic Management",https://www.youtube.com/watch?v=UicPNNEEYH4
9,Business Administration,Strategic Management - Dwivedi Guidance,,12th,English/Hindi,Module 3: Internal Appraisal & VRIO Analysis,"SCP Approach, Structure Conduct Performance Approach, SCP Model, strategic management notes, mba",https://www.youtube.com/watch?v=Tiik5sTc3oE
10,Business Administration,Strategic Management - Dwivedi Guidance,,12th,English/Hindi,Module 3: Internal Appraisal & VRIO Analysis,"Directional strategies, corporate strategies, strategic management notes, strategic management, mba",https://www.youtube.com/watch?v=sbqJa5N7eig
