S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Mathematics,Complex Analysis (Differentiation & Integration),30hrs 10min,12th,English/Hindi,Module 1: Introduction to Complex Functions,Complex Analysis | Analytic Function | Cauchy Riemann Equation BY GP sir,https://www.youtube.com/watch?v=t9xW7UaZwZ0
2,Mathematics,Complex Analysis (Differentiation & Integration),,12th,English/Hindi,Module 1: Introduction to Complex Functions,Complex Analysis - Short Trick To Find Harmonic Conjugate By GP Sir,https://www.youtube.com/watch?v=OQQqbV32b78
3,Mathematics,Complex Analysis (Differentiation & Integration),,12th,English/Hindi,Module 1: Introduction to Complex Functions,Complex Analysis - Analytic Function | Milne Thomson Method | Example & Solutions,https://www.youtube.com/watch?v=ABNW9FcZ5zQ
4,Mathematics,Complex Analysis (Differentiation & Integration),,12th,English/Hindi,Module 1: Introduction to Complex Functions,Complex Analysis - Bilinear transformation | Conformal Mappings By GP,https://www.youtube.com/watch?v=xgnQTqMc6A4
5,Mathematics,Complex Analysis (Differentiation & Integration),,12th,English/Hindi,Module 2: Analytic Functions and Cauchy-Riemann Equations,Complex Analysis - Complex Integration Line Integral Example & Solution,https://www.youtube.com/watch?v=ywQVarOaA60
6,Mathematics,Complex Analysis (Differentiation & Integration),,12th,English/Hindi,Module 2: Analytic Functions and Cauchy-Riemann Equations,Cauchy's Integral Formula For Analytic Function | Example & Solution,https://www.youtube.com/watch?v=fSoQxuVdKIs
7,Mathematics,Complex Analysis (Differentiation & Integration),,12th,English/Hindi,Module 2: Analytic Functions and Cauchy-Riemann Equations,Complex Analysis - Cauchy's Residue Theorem & Its Application by GP,https://www.youtube.com/watch?v=4yC4IXcMKJg
8,Mathematics,Complex Analysis (Differentiation & Integration),,12th,English/Hindi,Module 3: Complex Integration,Complex Analysis- Contour Integration | Application of Residue Theorem,https://www.youtube.com/watch?v=xaKTNENeJdA
9,Mathematics,Complex Analysis (Differentiation & Integration),,12th,English/Hindi,Module 3: Complex Integration,Complex Analysis - Contour integration | Evaluation of Improper Integrals,https://www.youtube.com/watch?v=enF9OuOC9MA
10,Mathematics,Complex Analysis (Differentiation & Integration),,12th,English/Hindi,Module 3: Complex Integration,Complex Analysis - Taylor Series For Complex Variable | Problems By GP,https://www.youtube.com/watch?v=xls_5Ly7VA4
11,Mathematics,Complex Analysis (Differentiation & Integration),,12th,English/Hindi,Module 4: Series and Singularities,Complex Analysis -Laurent Series For Complex Number | Problems By GP,https://www.youtube.com/watch?v=gUmIrJRXDSs
12,Mathematics,Complex Analysis (Differentiation & Integration),,12th,English/Hindi,Module 4: Series and Singularities,Singularity - Types of Singularity  | Isolated & Non-Isolated Singularity | Complex Analysis,https://www.youtube.com/watch?v=G1Wc5gGAZ8A
13,Mathematics,Complex Analysis (Differentiation & Integration),,12th,English/Hindi,Module 4: Series and Singularities,Singularity | Removable Singularity - Concepts with Examples | Complex Analysis,https://www.youtube.com/watch?v=SjKwEox2-W8
14,Mathematics,Complex Analysis (Differentiation & Integration),,12th,English/Hindi,Module 5: Residue Calculus,Singularity | Isolated Singularity - Pole and Order Of Pole | Complex Analysis,https://www.youtube.com/watch?v=aWY2xmUerys
15,Mathematics,Complex Analysis (Differentiation & Integration),,12th,English/Hindi,Module 5: Residue Calculus,Singularity | Isolated Singularity - Isolated Essential Singularity | Complex Analysis,https://www.youtube.com/watch?v=3qPuKs71ELc
16,Mathematics,Complex Analysis (Differentiation & Integration),,12th,English/Hindi,Module 5: Residue Calculus,Singularity | Non-Isolated Singularity - Non-Isolated Essential Singularity | Complex Analysis,https://www.youtube.com/watch?v=TVeANBkp6PM
17,Mathematics,Complex Analysis (Differentiation & Integration),,12th,English/Hindi,Module 6: Applications of Complex Analysis,Residue - Complex Analysis | Residue at Infinity | Short Trick With Examples,https://www.youtube.com/watch?v=82N_QZ2vhYg
18,Mathematics,Complex Analysis (Differentiation & Integration),,12th,English/Hindi,Module 6: Applications of Complex Analysis,Residue - Complex Analysis | Residue at Essential Singularity | Short Trick With Examples,https://www.youtube.com/watch?v=Bf6VFTA2ccE
19,Mathematics,Complex Analysis (Differentiation & Integration),,12th,English/Hindi,Module 6: Applications of Complex Analysis,Singularity | Isolated Singularity at Infinity | Complex Analysis,https://www.youtube.com/watch?v=e7j_N7oMT1Y
20,Mathematics,Complex Analysis (Differentiation & Integration),,12th,English/Hindi,Module 6: Applications of Complex Analysis,Radius of Convergence - Power Series  | Complex Analysis,https://www.youtube.com/watch?v=L2ex8Irwr3M
