QP/JOB ROLE NAME,EMBEDDING_PATH
3d Printing Modelling Engineer,./utils/embeddings/PMKVY_JobRoles/data/3d Printing Modelling Engineer.pt
3D Printing Operator,./utils/embeddings/PMKVY_JobRoles/data/3D Printing Operator.pt
3d Printing Software Developer,./utils/embeddings/PMKVY_JobRoles/data/3d Printing Software Developer.pt
Actor,./utils/embeddings/PMKVY_JobRoles/data/Actor.pt
Additive Manufacturing (3D Printing),./utils/embeddings/PMKVY_JobRoles/data/Additive Manufacturing (3D Printing).pt
ADVERTISING OPERATIONS COORDINATOR,./utils/embeddings/PMKVY_JobRoles/data/ADVERTISING OPERATIONS COORDINATOR.pt
Aerial Work Platform Operator,./utils/embeddings/PMKVY_JobRoles/data/Aerial Work Platform Operator.pt
Aerospace CNC Machinist,./utils/embeddings/PMKVY_JobRoles/data/Aerospace CNC Machinist.pt
Aerospace Composite Technician,./utils/embeddings/PMKVY_JobRoles/data/Aerospace Composite Technician.pt
Aerospace Structural Fitter,./utils/embeddings/PMKVY_JobRoles/data/Aerospace Structural Fitter.pt
Agri-residue Aggregator,./utils/embeddings/PMKVY_JobRoles/data/Agri-residue Aggregator.pt
Agriculture Extension Service Provider,./utils/embeddings/PMKVY_JobRoles/data/Agriculture Extension Service Provider.pt
Agriculture Warehouse Worker,./utils/embeddings/PMKVY_JobRoles/data/Agriculture Warehouse Worker.pt
AI & ML – Jr. Telecom Data Analyst,./utils/embeddings/PMKVY_JobRoles/data/AI & ML – Jr. Telecom Data Analyst.pt
AI - Business Intelligence Analyst,./utils/embeddings/PMKVY_JobRoles/data/AI - Business Intelligence Analyst.pt
AI - Data Architect,./utils/embeddings/PMKVY_JobRoles/data/AI - Data Architect.pt
AI - Data Engineer,./utils/embeddings/PMKVY_JobRoles/data/AI - Data Engineer.pt
AI - Data Quality Analyst,./utils/embeddings/PMKVY_JobRoles/data/AI - Data Quality Analyst.pt
AI - Data Scientist,./utils/embeddings/PMKVY_JobRoles/data/AI - Data Scientist.pt
AI - Machine Learning Engineer,./utils/embeddings/PMKVY_JobRoles/data/AI - Machine Learning Engineer.pt
AI - Solution Architect,./utils/embeddings/PMKVY_JobRoles/data/AI - Solution Architect.pt
AI Devices Installation Operator,./utils/embeddings/PMKVY_JobRoles/data/AI Devices Installation Operator.pt
AI-Database Administrator,./utils/embeddings/PMKVY_JobRoles/data/AI-Database Administrator.pt
Aircraft Airframe & Powerplant Technician,./utils/embeddings/PMKVY_JobRoles/data/Aircraft Airframe & Powerplant Technician.pt
Aircraft Avionics Technician,./utils/embeddings/PMKVY_JobRoles/data/Aircraft Avionics Technician.pt
Airline Baggage Handler,./utils/embeddings/PMKVY_JobRoles/data/Airline Baggage Handler.pt
Airline Cargo Assistant,./utils/embeddings/PMKVY_JobRoles/data/Airline Cargo Assistant.pt
Airline Customer Service Executive,./utils/embeddings/PMKVY_JobRoles/data/Airline Customer Service Executive.pt
Analyst Application Security,./utils/embeddings/PMKVY_JobRoles/data/Analyst Application Security.pt
Analyst Compliance Audit,./utils/embeddings/PMKVY_JobRoles/data/Analyst Compliance Audit.pt
Analyst End Point Security,./utils/embeddings/PMKVY_JobRoles/data/Analyst End Point Security.pt
Analyst Security Operations Centre,./utils/embeddings/PMKVY_JobRoles/data/Analyst Security Operations Centre.pt
