S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Mechanical Engineering,HVAC training,41hrs 22min,12th,English/Hindi,Module 1: HVAC System Fundamentals,"How a Chiller, Cooling Tower and Air Handling Unit work together",https://www.youtube.com/watch?v=1cvFlBLo4u0
2,Mechanical Engineering,HVAC training,,12th,English/Hindi,Module 1: HVAC System Fundamentals,How Air Handling Units work   AHU working principle hvac ventilation,https://www.youtube.com/watch?v=KCiv8IAUkh8
3,Mechanical Engineering,HVAC training,,12th,English/Hindi,Module 1: HVAC System Fundamentals,Fundamentals of HVAC - Basics of HVAC,https://www.youtube.com/watch?v=klggop60vlM
4,Mechanical Engineering,HVAC training,,12th,English/Hindi,Module 2: Constant Air Volume (CAV) Systems,Constant Air Volume - CAV  HVAC system basics hvacr,https://www.youtube.com/watch?v=zf9fKW2Kwwc
5,Mechanical Engineering,HVAC training,,12th,English/Hindi,Module 2: Constant Air Volume (CAV) Systems,Constant Air Volume - CAV HVAC System,https://www.youtube.com/watch?v=XgQ3v6lvoZQ
6,Mechanical Engineering,HVAC training,,12th,English/Hindi,Module 3: Variable Air Volume (VAV) and VRF Systems,VAV Variable Air Volume - HVAC system basics hvacr,https://www.youtube.com/watch?v=vw-bAbjPTd8
7,Mechanical Engineering,HVAC training,,12th,English/Hindi,Module 3: Variable Air Volume (VAV) and VRF Systems,VRF Systems Explained - Variable refrigerant flow basics HVAC,https://www.youtube.com/watch?v=4i1XgcP1tmw
8,Mechanical Engineering,HVAC training,,12th,English/Hindi,Module 4: Chiller Systems,Turbocor Chillers Explained - Oil free magnetic bearing HVAC,https://www.youtube.com/watch?v=iOLeFORu3zs
9,Mechanical Engineering,HVAC training,,12th,English/Hindi,Module 4: Chiller Systems,"How Chiller, AHU, RTU work - working principle Air handling unit, rooftop unit hvac system",https://www.youtube.com/watch?v=UmWWZdJR1hQ
10,Mechanical Engineering,HVAC training,,12th,English/Hindi,Module 5: HVAC Components and Design,"Ductwork sizing, calculation and design for efficiency - HVAC Basics + full worked example",https://www.youtube.com/watch?v=5y_VBiTiuAY
11,Mechanical Engineering,HVAC training,,12th,English/Hindi,Module 5: HVAC Components and Design,What's Inside A Filter Drier - How it works  hvac,https://www.youtube.com/watch?v=R8_j4nI_ThI
12,Mechanical Engineering,HVAC training,,12th,English/Hindi,Module 5: HVAC Components and Design,How Solenoid Valves Work - Basics actuator control valve working principle,https://www.youtube.com/watch?v=-MLGr1_Fw0c
13,Mechanical Engineering,HVAC training,,12th,English/Hindi,Module 5: HVAC Components and Design,Vacuum Pumps Explained - Basic working principle HVAC,https://www.youtube.com/watch?v=pnqXEnn3DNk
14,Mechanical Engineering,HVAC training,,12th,English/Hindi,Module 6: HVAC Controls and Applications,How Filter Driers Work - HVACR,https://www.youtube.com/watch?v=ObbQLPGB_Ks
15,Mechanical Engineering,HVAC training,,12th,English/Hindi,Module 6: HVAC Controls and Applications,Air Conditioning System Basics  hvacr how does it work,https://www.youtube.com/watch?v=SfuSzBja8QA
16,Mechanical Engineering,HVAC training,,12th,English/Hindi,Module 6: HVAC Controls and Applications,Basic HVAC Controls - learn hvacr,https://www.youtube.com/watch?v=uXG1y2bOufo
17,Mechanical Engineering,HVAC training,,12th,English/Hindi,Module 6: HVAC Controls and Applications,How Air Cooled Chiller Works - Advanced,https://www.youtube.com/watch?v=r1zNqzmGuPw
18,Mechanical Engineering,HVAC training,,12th,English/Hindi,Module 6: HVAC Controls and Applications,Computer Room Air Conditioning - How do CRAC units work?,https://www.youtube.com/watch?v=WNOyBdWZNwE
