S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Finance,Investment Analysis and Portfolio Management - Dwivedi Guidance,69hrs 15min,12th,English/Hindi,Module 1: Introduction to Investment and Securities,"Investment Meaning, Characteristics, Objectives, Investment Analysis and Portfolio Management mba",https://www.youtube.com/watch?v=nOamE8NWyIc
2,Finance,Investment Analysis and Portfolio Management - Dwivedi Guidance,,12th,English/Hindi,Module 1: Introduction to Investment and Securities,"Money Market Securities, Money Market Instruments, Investment Analysis and Portfolio Management mba",https://www.youtube.com/watch?v=W1mC7cKvdWM
3,Finance,Investment Analysis and Portfolio Management - Dwivedi Guidance,,12th,English/Hindi,Module 1: Introduction to Investment and Securities,"Capital Market, Market of Securities, Structure, types, investment Analysis and Portfolio Management",https://www.youtube.com/watch?v=OtduCxvtNho
4,Finance,Investment Analysis and Portfolio Management - Dwivedi Guidance,,12th,English/Hindi,Module 1: Introduction to Investment and Securities,"Type of Investors, Individual & Institutional Investor, investment Analysis and Portfolio Management",https://www.youtube.com/watch?v=SW7UG-bh2VY
5,Finance,Investment Analysis and Portfolio Management - Dwivedi Guidance,,12th,English/Hindi,Module 2: Primary and Secondary Markets,"SEBI, SEBI Functions, SEBI Objective, Power Vested with SEBI, Investment Analysis and Portfolio",https://www.youtube.com/watch?v=vwdBqd_RMuU
6,Finance,Investment Analysis and Portfolio Management - Dwivedi Guidance,,12th,English/Hindi,Module 2: Primary and Secondary Markets,"Difference between Investment and Speculation, Investment Analysis and Portfolio Management aktu mba",https://www.youtube.com/watch?v=ApT4bjll7yw
7,Finance,Investment Analysis and Portfolio Management - Dwivedi Guidance,,12th,English/Hindi,Module 2: Primary and Secondary Markets,"New Issue Market, Primary Market, Investment Analysis and Portfolio Management, aktu mba, dwivedi",https://www.youtube.com/watch?v=eR9MVVfcUD0
8,Finance,Investment Analysis and Portfolio Management - Dwivedi Guidance,,12th,English/Hindi,Module 3: Portfolio Management and Investment Theories,"Method of Issue in Primary Market, IPO, FPO, Bonus, Investment Analysis and Portfolio Management",https://www.youtube.com/watch?v=R7DD0zGSDyI
9,Finance,Investment Analysis and Portfolio Management - Dwivedi Guidance,,12th,English/Hindi,Module 3: Portfolio Management and Investment Theories,"Markowitz portfolio theory, Markowitz’s Theory, MPT, Investment Analysis and Portfolio Management",https://www.youtube.com/watch?v=B-bKJ5fo44s
10,Finance,Investment Analysis and Portfolio Management - Dwivedi Guidance,,12th,English/Hindi,Module 3: Portfolio Management and Investment Theories,"Dow Theory in Technical analysis, dow theory in hindi, Investment Analysis and Portfolio Management",https://www.youtube.com/watch?v=B2i2FiLjsZU
