S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Automotive Engineering,"Electric, Hybrid And Fuel Cell Vehicles",36hrs 19min,12th,English/Hindi,Module 1: Introduction and History,L 01 Introduction to Subject Syllabus | Electric Hybrid and Fuel Cell Vehicle | Automobile,https://www.youtube.com/watch?v=DM-TBene76Q
2,Automotive Engineering,"Electric, Hybrid And Fuel Cell Vehicles",,12th,English/Hindi,Module 1: Introduction and History,L 02 History of EV and Environmental Effect | Electric Hybrid and Fuel Cell Vehicle | Automobile,https://www.youtube.com/watch?v=V76lKFm_gYI
3,Automotive Engineering,"Electric, Hybrid And Fuel Cell Vehicles",,12th,English/Hindi,Module 1: Introduction and History,L 03 Different Drivetrain Configurations of HEV | Electric Hybrid and Fuel Cell Vehicle | Automobile,https://www.youtube.com/watch?v=XIsMm43ITgU
4,Automotive Engineering,"Electric, Hybrid And Fuel Cell Vehicles",,12th,English/Hindi,Module 2: HEV Drivetrain Configurations,L 04 Different Drivetrain Topologies of HEV | Electric Hybrid and Fuel Cell Vehicle | Automobile,https://www.youtube.com/watch?v=IS-ZXNpkqXI
5,Automotive Engineering,"Electric, Hybrid And Fuel Cell Vehicles",,12th,English/Hindi,Module 2: HEV Drivetrain Configurations,L 05 Power Flow Control in HEV | Electric Hybrid and Fuel Cell Vehicle | Automobile,https://www.youtube.com/watch?v=cE0T-XPEcyI
6,Automotive Engineering,"Electric, Hybrid And Fuel Cell Vehicles",,12th,English/Hindi,Module 2: HEV Drivetrain Configurations,L 06 Different Drivetrain Topologies of EV | Electric Hybrid and Fuel Cell Vehicle | Automobile,https://www.youtube.com/watch?v=dx5iOfkvZcA
7,Automotive Engineering,"Electric, Hybrid And Fuel Cell Vehicles",,12th,English/Hindi,Module 3: HEV & EV Drivetrain Topologies,L 07 Fuel Efficiency and Fuel Cell Drivetrain | Electric Hybrid and Fuel Cell Vehicle | Automobile,https://www.youtube.com/watch?v=4ceMVqbiKqA
8,Automotive Engineering,"Electric, Hybrid And Fuel Cell Vehicles",,12th,English/Hindi,Module 3: HEV & EV Drivetrain Topologies,L 08 Requirements for Energy Storage for EV | Electric Hybrid and Fuel Cell Vehicle | Automobile,https://www.youtube.com/watch?v=RCbZjPHC1gg
9,Automotive Engineering,"Electric, Hybrid And Fuel Cell Vehicles",,12th,English/Hindi,Module 3: HEV & EV Drivetrain Topologies,L 09 Types of Batteries and Lead-Acid Battery | Electric Hybrid and Fuel Cell Vehicle | Automobile,https://www.youtube.com/watch?v=k9kdw77vbek
10,Automotive Engineering,"Electric, Hybrid And Fuel Cell Vehicles",,12th,English/Hindi,Module 4: Fuel Cells and Storage,L 10 Nickel-Cadmium and Nickel-Zinc Batteries | Electric Hybrid and Fuel Cell Vehicle | Automobile,https://www.youtube.com/watch?v=VMSP0ic1iSQ
11,Automotive Engineering,"Electric, Hybrid And Fuel Cell Vehicles",,12th,English/Hindi,Module 4: Fuel Cells and Storage,"L 11 Zn-Air, Al-Air and Sodium Batteries | Electric Hybrid and Fuel Cell Vehicle | Automobile",https://www.youtube.com/watch?v=Nwt-_GYtCOg
12,Automotive Engineering,"Electric, Hybrid And Fuel Cell Vehicles",,12th,English/Hindi,Module 4: Fuel Cells and Storage,L 12 Li-ion Battery and Evaluation of Batteries | Electric Hybrid and Fuel Cell Vehicle | Automobile,https://www.youtube.com/watch?v=HcWyi5-dX_k
13,Automotive Engineering,"Electric, Hybrid And Fuel Cell Vehicles",,12th,English/Hindi,Module 5: Battery Types and Characteristics,L 13 Ultracapcitor and High speed Flywheel | Electric Hybrid and Fuel Cell Vehicle | Automobile,https://www.youtube.com/watch?v=RMOS4oO-bh8
14,Automotive Engineering,"Electric, Hybrid And Fuel Cell Vehicles",,12th,English/Hindi,Module 5: Battery Types and Characteristics,L 14 Fuel Cell and Fuel Cell Characteristics | Electric Hybrid and Fuel Cell Vehicle | Automobile,https://www.youtube.com/watch?v=hSaOaq0NfKU
15,Automotive Engineering,"Electric, Hybrid And Fuel Cell Vehicles",,12th,English/Hindi,Module 5: Battery Types and Characteristics,L 15 Different Types of Fuel Cell | Electric Hybrid and Fuel Cell Vehicle | Automobile,https://www.youtube.com/watch?v=rEtMSP2dTqE
