S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Architecture,Introduction to building tech,43hrs 4min,12th,English/Hindi,Module 1: Introduction to Building Technology,1-01 Introduction to building technology,https://www.youtube.com/watch?v=K1k9_qOtD2E
2,Architecture,Introduction to building tech,,12th,English/Hindi,Module 1: Introduction to Building Technology,1-02 Location and why it's important,https://www.youtube.com/watch?v=SJUDAwTKgGI
3,Architecture,Introduction to building tech,,12th,English/Hindi,Module 1: Introduction to Building Technology,1-03 Orientation in Architectural design,https://www.youtube.com/watch?v=ZaLP4n8a4d4
4,Architecture,Introduction to building tech,,12th,English/Hindi,Module 1: Introduction to Building Technology,1-04 Site Analysis for Architectural design students,https://www.youtube.com/watch?v=EQLeEHma6a0
5,Architecture,Introduction to building tech,,12th,English/Hindi,Module 2: Site Analysis and Regulations,1-05 Regulations in Architectural design,https://www.youtube.com/watch?v=KDjjIS11XvM
6,Architecture,Introduction to building tech,,12th,English/Hindi,Module 2: Site Analysis and Regulations,1-06 Basic Structural principles in Architectural design,https://www.youtube.com/watch?v=4eUAzn328v0
7,Architecture,Introduction to building tech,,12th,English/Hindi,Module 2: Site Analysis and Regulations,1-07 Structural Systems in Architectural design,https://www.youtube.com/watch?v=7g5Fgdv2ats
8,Architecture,Introduction to building tech,,12th,English/Hindi,Module 3: Structural Principles and Systems,1-08 Timber frame history,https://www.youtube.com/watch?v=pUnuVsui4r0
9,Architecture,Introduction to building tech,,12th,English/Hindi,Module 3: Structural Principles and Systems,1-09 Platform frame construction,https://www.youtube.com/watch?v=iU2t_tAPxOQ
10,Architecture,Introduction to building tech,,12th,English/Hindi,Module 3: Structural Principles and Systems,1-10 Ground bearing floor,https://www.youtube.com/watch?v=_xMkbCEQIYw
11,Architecture,Introduction to building tech,,12th,English/Hindi,Module 4: Timber Frame Construction,1-11 Suspended floor,https://www.youtube.com/watch?v=vocOJEu3slo
12,Architecture,Introduction to building tech,,12th,English/Hindi,Module 4: Timber Frame Construction,1-12 Basic Strip foundations,https://www.youtube.com/watch?v=Q1AQ7lkhKLo
13,Architecture,Introduction to building tech,,12th,English/Hindi,Module 5: Foundations and Floors,1-13 Building envelope,https://www.youtube.com/watch?v=uD59eIjMfQs
14,Architecture,Introduction to building tech,,12th,English/Hindi,Module 5: Foundations and Floors,1-14 Heat Loss in Architectural design,https://www.youtube.com/watch?v=ni6Ws7bmoqA
15,Architecture,Introduction to building tech,,12th,English/Hindi,Module 6: Building Envelope and Heat Loss,1-15 Vapour control in Architectural design,https://www.youtube.com/watch?v=Nl6xNFT-3vE
16,Architecture,Introduction to building tech,,12th,English/Hindi,Module 6: Building Envelope and Heat Loss,1-16 Insulation for buildings,https://www.youtube.com/watch?v=59pM3zeaU2k
17,Architecture,Introduction to building tech,,12th,English/Hindi,Module 7: Insulation and Membranes,1-17 Breather membranes,https://www.youtube.com/watch?v=a8bKvfYw7Ms
18,Architecture,Introduction to building tech,,12th,English/Hindi,Module 7: Insulation and Membranes,1-18 Roof Construction,https://www.youtube.com/watch?v=RmjIftvCqws
19,Architecture,Introduction to building tech,,12th,English/Hindi,Module 8: Roof Construction and Details,1-19 Roof Details,https://www.youtube.com/watch?v=nnWQRl7fD_Q
20,Architecture,Introduction to building tech,,12th,English/Hindi,Module 8: Roof Construction and Details,1-20 Cladding,https://www.youtube.com/watch?v=GhfmUWNVBCg
21,Architecture,Introduction to building tech,,12th,English/Hindi,Module 9: Cladding and Services,1-21 Services General,https://www.youtube.com/watch?v=h9Gc2lIWtzo
22,Architecture,Introduction to building tech,,12th,English/Hindi,Module 9: Cladding and Services,1-22 More domestic services,https://www.youtube.com/watch?v=OJBcdBkDVnM
